ehead,ctryname,cowcode2,politycode,un_region_name,un_continent_name,leaderspellreg,democracy,regime,start_year,end_year,duration,observed
Andres Pastrana Arango,Colombia,100,100.0,South America,America,Andres Pastrana Arango.Colombia.1998.2001.Presidential Dem,Democracy,Presidential Dem,1998,2001,4,1
Alvaro Uribe Velez,Colombia,100,100.0,South America,America,Alvaro Uribe Velez.Colombia.2002.2008.Presidential Dem,Democracy,Presidential Dem,2002,2008,7,0
Ali Soilih,Comoros,581,581.0,Eastern Africa,Africa,Ali Soilih.Comoros.1975.1977.Civilian Dict,Non-democracy,Civilian Dict,1975,1977,3,0
Ahmed Abdallah,Comoros,581,581.0,Eastern Africa,Africa,Ahmed Abdallah.Comoros.1978.1988.Civilian Dict,Non-democracy,Civilian Dict,1978,1988,11,0
Said Mohammed Djohar,Comoros,581,581.0,Eastern Africa,Africa,Said Mohammed Djohar.Comoros.1989.1989.Civilian Dict,Non-democracy,Civilian Dict,1989,1989,1,1
Said Mohammed Djohar,Comoros,581,581.0,Eastern Africa,Africa,Said Mohammed Djohar.Comoros.1990.1992.Mixed Dem,Democracy,Mixed Dem,1990,1992,3,1
Ahmed Ben Cheikh Attoumane,Comoros,581,581.0,Eastern Africa,Africa,Ahmed Ben Cheikh Attoumane.Comoros.1993.1993.Mixed Dem,Democracy,Mixed Dem,1993,1993,1,1
Halifa Houmadi,Comoros,581,581.0,Eastern Africa,Africa,Halifa Houmadi.Comoros.1994.1994.Mixed Dem,Democracy,Mixed Dem,1994,1994,1,1
Caambi el-Yachourtu,Comoros,581,581.0,Eastern Africa,Africa,Caambi el-Yachourtu.Comoros.1995.1995.Civilian Dict,Non-democracy,Civilian Dict,1995,1995,1,1
Mohammed Taki Abdoulkarim,Comoros,581,581.0,Eastern Africa,Africa,Mohammed Taki Abdoulkarim.Comoros.1996.1997.Civilian Dict,Non-democracy,Civilian Dict,1996,1997,2,0
Tadjidine Ben Said Massounde,Comoros,581,581.0,Eastern Africa,Africa,Tadjidine Ben Said Massounde.Comoros.1998.1998.Civilian Dict,Non-democracy,Civilian Dict,1998,1998,1,1
Azali Assoumani,Comoros,581,581.0,Eastern Africa,Africa,Azali Assoumani.Comoros.1999.2003.Military Dict,Non-democracy,Military Dict,1999,2003,5,1
Azali Assoumani,Comoros,581,581.0,Eastern Africa,Africa,Azali Assoumani.Comoros.2004.2005.Presidential Dem,Democracy,Presidential Dem,2004,2005,2,1
Ahmed Abdallah Sambi,Comoros,581,581.0,Eastern Africa,Africa,Ahmed Abdallah Sambi.Comoros.2006.2008.Presidential Dem,Democracy,Presidential Dem,2006,2008,3,0
Fulbert Youlou,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Fulbert Youlou.Congo (Brazzaville, Republic of Congo).1960.1962.Presidential Dem",Democracy,Presidential Dem,1960,1962,3,1
Alphonse Massamba-Debat,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Alphonse Massamba-Debat.Congo (Brazzaville, Republic of Congo).1963.1967.Civilian Dict",Non-democracy,Civilian Dict,1963,1967,5,1
Alfred Raoul,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Alfred Raoul.Congo (Brazzaville, Republic of Congo).1968.1968.Military Dict",Non-democracy,Military Dict,1968,1968,1,1
Marien Ngouabi,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Marien Ngouabi.Congo (Brazzaville, Republic of Congo).1969.1976.Military Dict",Non-democracy,Military Dict,1969,1976,8,0
Joachim Yhombi-Opango,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Joachim Yhombi-Opango.Congo (Brazzaville, Republic of Congo).1977.1978.Military Dict",Non-democracy,Military Dict,1977,1978,2,1
Denis Sassou-Nguesso,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Denis Sassou-Nguesso.Congo (Brazzaville, Republic of Congo).1979.1991.Military Dict",Non-democracy,Military Dict,1979,1991,13,1
Claude-Antoine Dacosta,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Claude-Antoine Dacosta.Congo (Brazzaville, Republic of Congo).1992.1992.Mixed Dem",Democracy,Mixed Dem,1992,1992,1,1
Jacques-Joachim Yhombi-Opango,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Jacques-Joachim Yhombi-Opango.Congo (Brazzaville, Republic of Congo).1993.1995.Mixed Dem",Democracy,Mixed Dem,1993,1995,3,1
Charles David Ganao,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Charles David Ganao.Congo (Brazzaville, Republic of Congo).1996.1996.Mixed Dem",Democracy,Mixed Dem,1996,1996,1,1
Denis Sassou-Nguesso,"Congo (Brazzaville, Republic of Congo)",484,484.0,Middle Africa,Africa,"Denis Sassou-Nguesso.Congo (Brazzaville, Republic of Congo).1997.2008.Military Dict",Non-democracy,Military Dict,1997,2008,12,0
Teodoro Picado Michalski,Costa Rica,94,94.0,Central America,America,Teodoro Picado Michalski.Costa Rica.1946.1947.Presidential Dem,Democracy,Presidential Dem,1946,1947,2,1
Jose Figueres Ferrer,Costa Rica,94,94.0,Central America,America,Jose Figueres Ferrer.Costa Rica.1948.1948.Civilian Dict,Non-democracy,Civilian Dict,1948,1948,1,1
Otilia Ulate Blanco,Costa Rica,94,94.0,Central America,America,Otilia Ulate Blanco.Costa Rica.1949.1952.Presidential Dem,Democracy,Presidential Dem,1949,1952,4,1
Jose Figueres Ferrer,Costa Rica,94,94.0,Central America,America,Jose Figueres Ferrer.Costa Rica.1953.1957.Presidential Dem,Democracy,Presidential Dem,1953,1957,5,1
Mario Echandi Jimenez,Costa Rica,94,94.0,Central America,America,Mario Echandi Jimenez.Costa Rica.1958.1961.Presidential Dem,Democracy,Presidential Dem,1958,1961,4,1
Francisco Jose Orlich Bolmarich,Costa Rica,94,94.0,Central America,America,Francisco Jose Orlich Bolmarich.Costa Rica.1962.1965.Presidential Dem,Democracy,Presidential Dem,1962,1965,4,1
Jose Joaquim Trejos Fernandez,Costa Rica,94,94.0,Central America,America,Jose Joaquim Trejos Fernandez.Costa Rica.1966.1969.Presidential Dem,Democracy,Presidential Dem,1966,1969,4,1
Jose Figueres Ferrer,Costa Rica,94,94.0,Central America,America,Jose Figueres Ferrer.Costa Rica.1970.1973.Presidential Dem,Democracy,Presidential Dem,1970,1973,4,1
Daniel Oduber Quires,Costa Rica,94,94.0,Central America,America,Daniel Oduber Quires.Costa Rica.1974.1977.Presidential Dem,Democracy,Presidential Dem,1974,1977,4,1
Rodrigo Carazo Odio,Costa Rica,94,94.0,Central America,America,Rodrigo Carazo Odio.Costa Rica.1978.1981.Presidential Dem,Democracy,Presidential Dem,1978,1981,4,1
Luis Alberto Monge Alverez,Costa Rica,94,94.0,Central America,America,Luis Alberto Monge Alverez.Costa Rica.1982.1985.Presidential Dem,Democracy,Presidential Dem,1982,1985,4,1
Oscar Arias Sanchez,Costa Rica,94,94.0,Central America,America,Oscar Arias Sanchez.Costa Rica.1986.1989.Presidential Dem,Democracy,Presidential Dem,1986,1989,4,1
Rafael Angel Calderon Fournier,Costa Rica,94,94.0,Central America,America,Rafael Angel Calderon Fournier.Costa Rica.1990.1993.Presidential Dem,Democracy,Presidential Dem,1990,1993,4,1
Jose Maria Figueres Olsen,Costa Rica,94,94.0,Central America,America,Jose Maria Figueres Olsen.Costa Rica.1994.1997.Presidential Dem,Democracy,Presidential Dem,1994,1997,4,1
Miguel Angel Rodriguez Echeverria,Costa Rica,94,94.0,Central America,America,Miguel Angel Rodriguez Echeverria.Costa Rica.1998.2001.Presidential Dem,Democracy,Presidential Dem,1998,2001,4,1
Abel Pacheco de la Espriella,Costa Rica,94,94.0,Central America,America,Abel Pacheco de la Espriella.Costa Rica.2002.2005.Presidential Dem,Democracy,Presidential Dem,2002,2005,4,1
Oscar Rafael Arias Sanchez,Costa Rica,94,94.0,Central America,America,Oscar Rafael Arias Sanchez.Costa Rica.2006.2008.Presidential Dem,Democracy,Presidential Dem,2006,2008,3,0
Felix Houphouet-Boigny,Cote d'Ivoire,437,437.0,Western Africa,Africa,Felix Houphouet-Boigny.Cote d'Ivoire.1960.1992.Civilian Dict,Non-democracy,Civilian Dict,1960,1992,33,0
Henri Konan Bedie,Cote d'Ivoire,437,437.0,Western Africa,Africa,Henri Konan Bedie.Cote d'Ivoire.1993.1998.Civilian Dict,Non-democracy,Civilian Dict,1993,1998,6,1
Robert Guei,Cote d'Ivoire,437,437.0,Western Africa,Africa,Robert Guei.Cote d'Ivoire.1999.1999.Military Dict,Non-democracy,Military Dict,1999,1999,1,1
Laurent Gbagbo,Cote d'Ivoire,437,437.0,Western Africa,Africa,Laurent Gbagbo.Cote d'Ivoire.2000.2008.Civilian Dict,Non-democracy,Civilian Dict,2000,2008,9,0
Franjo Greguric,Croatia,344,344.0,Southern Europe,Europe,Franjo Greguric.Croatia.1991.1991.Mixed Dem,Democracy,Mixed Dem,1991,1991,1,1
Hrvoje Sarinic,Croatia,344,344.0,Southern Europe,Europe,Hrvoje Sarinic.Croatia.1992.1992.Mixed Dem,Democracy,Mixed Dem,1992,1992,1,1
Nikica Valentic,Croatia,344,344.0,Southern Europe,Europe,Nikica Valentic.Croatia.1993.1994.Mixed Dem,Democracy,Mixed Dem,1993,1994,2,1
Zlatko Matesa,Croatia,344,344.0,Southern Europe,Europe,Zlatko Matesa.Croatia.1995.1999.Mixed Dem,Democracy,Mixed Dem,1995,1999,5,1
Ivica Racan,Croatia,344,344.0,Southern Europe,Europe,Ivica Racan.Croatia.2000.2002.Mixed Dem,Democracy,Mixed Dem,2000,2002,3,1
Ivo Sanader,Croatia,344,344.0,Southern Europe,Europe,Ivo Sanader.Croatia.2003.2008.Mixed Dem,Democracy,Mixed Dem,2003,2008,6,0
Fulgencio Batista y Zaldivar,Cuba,40,40.0,Caribbean,America,Fulgencio Batista y Zaldivar.Cuba.1946.1951.Presidential Dem,Democracy,Presidential Dem,1946,1951,6,1
Fulgencio Batista y Zaldivar,Cuba,40,40.0,Caribbean,America,Fulgencio Batista y Zaldivar.Cuba.1952.1958.Military Dict,Non-democracy,Military Dict,1952,1958,7,1
Fidel Castro Ruz,Cuba,40,40.0,Caribbean,America,Fidel Castro Ruz.Cuba.1959.2005.Civilian Dict,Non-democracy,Civilian Dict,1959,2005,47,1
Raul Castro,Cuba,40,40.0,Caribbean,America,Raul Castro.Cuba.2006.2008.Military Dict,Non-democracy,Military Dict,2006,2008,3,0
Archbishop Makarios,Cyprus,352,352.0,Western Asia,Asia,Archbishop Makarios.Cyprus.1960.1976.Civilian Dict,Non-democracy,Civilian Dict,1960,1976,17,0
Spyros Kyprianou,Cyprus,352,352.0,Western Asia,Asia,Spyros Kyprianou.Cyprus.1977.1982.Civilian Dict,Non-democracy,Civilian Dict,1977,1982,6,0
Spyros Kyprianou,Cyprus,352,352.0,Western Asia,Asia,Spyros Kyprianou.Cyprus.1983.1987.Presidential Dem,Democracy,Presidential Dem,1983,1987,5,1
George Vassiliou,Cyprus,352,352.0,Western Asia,Asia,George Vassiliou.Cyprus.1988.1992.Presidential Dem,Democracy,Presidential Dem,1988,1992,5,1
Glafkos Klerides,Cyprus,352,352.0,Western Asia,Asia,Glafkos Klerides.Cyprus.1993.2002.Presidential Dem,Democracy,Presidential Dem,1993,2002,10,1
Tassos Nikolaou Papadopoulos,Cyprus,352,352.0,Western Asia,Asia,Tassos Nikolaou Papadopoulos.Cyprus.2003.2007.Presidential Dem,Democracy,Presidential Dem,2003,2007,5,1
Dimitris Christofi Christofias,Cyprus,352,352.0,Western Asia,Asia,Dimitris Christofi Christofias.Cyprus.2008.2008.Presidential Dem,Democracy,Presidential Dem,2008,2008,1,0
Vaclav Klaus,Czech Republic,316,316.0,Eastern Europe,Europe,Vaclav Klaus.Czech Republic.1993.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1993,1996,4,1
Josef Tosovsky,Czech Republic,316,316.0,Eastern Europe,Europe,Josef Tosovsky.Czech Republic.1997.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1997,1997,1,1
Milos Zeman,Czech Republic,316,316.0,Eastern Europe,Europe,Milos Zeman.Czech Republic.1998.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1998,2001,4,1
Vladimir Spidla,Czech Republic,316,316.0,Eastern Europe,Europe,Vladimir Spidla.Czech Republic.2002.2003.Parliamentary Dem,Democracy,Parliamentary Dem,2002,2003,2,1
Stanislav Gross,Czech Republic,316,316.0,Eastern Europe,Europe,Stanislav Gross.Czech Republic.2004.2004.Parliamentary Dem,Democracy,Parliamentary Dem,2004,2004,1,1
Jiri Paroubek,Czech Republic,316,316.0,Eastern Europe,Europe,Jiri Paroubek.Czech Republic.2005.2005.Parliamentary Dem,Democracy,Parliamentary Dem,2005,2005,1,1
Mirek Topolanek,Czech Republic,316,316.0,Eastern Europe,Europe,Mirek Topolanek.Czech Republic.2006.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2006,2008,3,0
Klement Gottwald,Czechoslovakia,315,315.0,Eastern Europe,Europe,Klement Gottwald.Czechoslovakia.1946.1952.Civilian Dict,Non-democracy,Civilian Dict,1946,1952,7,0
Antonin Novotny,Czechoslovakia,315,315.0,Eastern Europe,Europe,Antonin Novotny.Czechoslovakia.1953.1967.Civilian Dict,Non-democracy,Civilian Dict,1953,1967,15,1
Alexander Dubcek,Czechoslovakia,315,315.0,Eastern Europe,Europe,Alexander Dubcek.Czechoslovakia.1968.1968.Civilian Dict,Non-democracy,Civilian Dict,1968,1968,1,1
Gustav Husak,Czechoslovakia,315,315.0,Eastern Europe,Europe,Gustav Husak.Czechoslovakia.1969.1986.Civilian Dict,Non-democracy,Civilian Dict,1969,1986,18,1
Milos Jakes,Czechoslovakia,315,315.0,Eastern Europe,Europe,Milos Jakes.Czechoslovakia.1987.1988.Civilian Dict,Non-democracy,Civilian Dict,1987,1988,2,1
Marian Calfa,Czechoslovakia,315,315.0,Eastern Europe,Europe,Marian Calfa.Czechoslovakia.1989.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1989,1991,3,1
Jan Strasky,Czechoslovakia,315,315.0,Eastern Europe,Europe,Jan Strasky.Czechoslovakia.1992.1992.Parliamentary Dem,Democracy,Parliamentary Dem,1992,1992,1,0
Joseph Kasabuvu,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",490,490.0,Middle Africa,Africa,"Joseph Kasabuvu.Democratic Republic of the Congo (Zaire, Congo-Kinshasha).1960.1964.Civilian Dict",Non-democracy,Civilian Dict,1960,1964,5,1
Mobutu Sese Seko,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",490,490.0,Middle Africa,Africa,"Mobutu Sese Seko.Democratic Republic of the Congo (Zaire, Congo-Kinshasha).1965.1996.Military Dict",Non-democracy,Military Dict,1965,1996,32,1
Laurent Kabila,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",490,490.0,Middle Africa,Africa,"Laurent Kabila.Democratic Republic of the Congo (Zaire, Congo-Kinshasha).1997.2000.Civilian Dict",Non-democracy,Civilian Dict,1997,2000,4,0
Joseph Kabila,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",490,490.0,Middle Africa,Africa,"Joseph Kabila.Democratic Republic of the Congo (Zaire, Congo-Kinshasha).2001.2008.Civilian Dict",Non-democracy,Civilian Dict,2001,2008,8,0
Knud Kristensen,Denmark,390,390.0,Northern Europe,Europe,Knud Kristensen.Denmark.1946.1946.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1946,1,1
Hans Hedtoft,Denmark,390,390.0,Northern Europe,Europe,Hans Hedtoft.Denmark.1947.1949.Parliamentary Dem,Democracy,Parliamentary Dem,1947,1949,3,1
Erik Eriksen,Denmark,390,390.0,Northern Europe,Europe,Erik Eriksen.Denmark.1950.1952.Parliamentary Dem,Democracy,Parliamentary Dem,1950,1952,3,1
Hans Hedtoft,Denmark,390,390.0,Northern Europe,Europe,Hans Hedtoft.Denmark.1953.1954.Parliamentary Dem,Democracy,Parliamentary Dem,1953,1954,2,0
Hans Hansen,Denmark,390,390.0,Northern Europe,Europe,Hans Hansen.Denmark.1955.1959.Parliamentary Dem,Democracy,Parliamentary Dem,1955,1959,5,0
Viggo Kampmann,Denmark,390,390.0,Northern Europe,Europe,Viggo Kampmann.Denmark.1960.1961.Parliamentary Dem,Democracy,Parliamentary Dem,1960,1961,2,1
Jens-Otto Krag,Denmark,390,390.0,Northern Europe,Europe,Jens-Otto Krag.Denmark.1962.1967.Parliamentary Dem,Democracy,Parliamentary Dem,1962,1967,6,1
Hilmar Baunsgaard,Denmark,390,390.0,Northern Europe,Europe,Hilmar Baunsgaard.Denmark.1968.1970.Parliamentary Dem,Democracy,Parliamentary Dem,1968,1970,3,1
Jens-Otto Krag,Denmark,390,390.0,Northern Europe,Europe,Jens-Otto Krag.Denmark.1971.1971.Parliamentary Dem,Democracy,Parliamentary Dem,1971,1971,1,1
Anker Jorgensen,Denmark,390,390.0,Northern Europe,Europe,Anker Jorgensen.Denmark.1972.1972.Parliamentary Dem,Democracy,Parliamentary Dem,1972,1972,1,1
Poul Hartling,Denmark,390,390.0,Northern Europe,Europe,Poul Hartling.Denmark.1973.1974.Parliamentary Dem,Democracy,Parliamentary Dem,1973,1974,2,1
Anker Jorgensen,Denmark,390,390.0,Northern Europe,Europe,Anker Jorgensen.Denmark.1975.1981.Parliamentary Dem,Democracy,Parliamentary Dem,1975,1981,7,1
Poul Schluter,Denmark,390,390.0,Northern Europe,Europe,Poul Schluter.Denmark.1982.1992.Parliamentary Dem,Democracy,Parliamentary Dem,1982,1992,11,1
Poul Nyrup Rasmussen,Denmark,390,390.0,Northern Europe,Europe,Poul Nyrup Rasmussen.Denmark.1993.2000.Parliamentary Dem,Democracy,Parliamentary Dem,1993,2000,8,1
Anders Fogh Rasmussen,Denmark,390,390.0,Northern Europe,Europe,Anders Fogh Rasmussen.Denmark.2001.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2001,2008,8,0
Hassan Gouled Aptidon,Djibouti,522,522.0,Eastern Africa,Africa,Hassan Gouled Aptidon.Djibouti.1977.1998.Civilian Dict,Non-democracy,Civilian Dict,1977,1998,22,1
Ismail Omar Guelleh,Djibouti,522,522.0,Eastern Africa,Africa,Ismail Omar Guelleh.Djibouti.1999.2008.Civilian Dict,Non-democracy,Civilian Dict,1999,2008,10,0
Patrick John,Dominica,54,54.0,Caribbean,America,Patrick John.Dominica.1978.1978.Parliamentary Dem,Democracy,Parliamentary Dem,1978,1978,1,1
Oliver Seraphine,Dominica,54,54.0,Caribbean,America,Oliver Seraphine.Dominica.1979.1979.Parliamentary Dem,Democracy,Parliamentary Dem,1979,1979,1,1
Eugenia Charles,Dominica,54,54.0,Caribbean,America,Eugenia Charles.Dominica.1980.1994.Parliamentary Dem,Democracy,Parliamentary Dem,1980,1994,15,1
Edison James,Dominica,54,54.0,Caribbean,America,Edison James.Dominica.1995.1999.Parliamentary Dem,Democracy,Parliamentary Dem,1995,1999,5,1
Pierre Charles,Dominica,54,54.0,Caribbean,America,Pierre Charles.Dominica.2000.2003.Parliamentary Dem,Democracy,Parliamentary Dem,2000,2003,4,1
Roosevelt Skerrit,Dominica,54,54.0,Caribbean,America,Roosevelt Skerrit.Dominica.2004.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2004,2008,5,0
Rafael Trujillo,Dominican Republic,42,42.0,Caribbean,America,Rafael Trujillo.Dominican Republic.1946.1960.Military Dict,Non-democracy,Military Dict,1946,1960,15,0
Joaquin Balaguer,Dominican Republic,42,42.0,Caribbean,America,Joaquin Balaguer.Dominican Republic.1961.1961.Civilian Dict,Non-democracy,Civilian Dict,1961,1961,1,1
Rafael Bonnelly,Dominican Republic,42,42.0,Caribbean,America,Rafael Bonnelly.Dominican Republic.1962.1962.Civilian Dict,Non-democracy,Civilian Dict,1962,1962,1,1
military,Dominican Republic,42,42.0,Caribbean,America,military.Dominican Republic.1963.1964.Military Dict,Non-democracy,Military Dict,1963,1964,2,1
Hector Garcia-Godoy Caceres,Dominican Republic,42,42.0,Caribbean,America,Hector Garcia-Godoy Caceres.Dominican Republic.1965.1965.Civilian Dict,Non-democracy,Civilian Dict,1965,1965,1,1
Joaquin Balaguer,Dominican Republic,42,42.0,Caribbean,America,Joaquin Balaguer.Dominican Republic.1966.1977.Presidential Dem,Democracy,Presidential Dem,1966,1977,12,1
Antonio Guzman Fernandez,Dominican Republic,42,42.0,Caribbean,America,Antonio Guzman Fernandez.Dominican Republic.1978.1981.Presidential Dem,Democracy,Presidential Dem,1978,1981,4,0
Salvador Jorge Blanco,Dominican Republic,42,42.0,Caribbean,America,Salvador Jorge Blanco.Dominican Republic.1982.1985.Presidential Dem,Democracy,Presidential Dem,1982,1985,4,1
Joaquin Balaguer,Dominican Republic,42,42.0,Caribbean,America,Joaquin Balaguer.Dominican Republic.1986.1995.Presidential Dem,Democracy,Presidential Dem,1986,1995,10,1
Leonel Fernandez Reyna,Dominican Republic,42,42.0,Caribbean,America,Leonel Fernandez Reyna.Dominican Republic.1996.1999.Presidential Dem,Democracy,Presidential Dem,1996,1999,4,1
Rafael Hipolito Mejia Dominguez,Dominican Republic,42,42.0,Caribbean,America,Rafael Hipolito Mejia Dominguez.Dominican Republic.2000.2003.Presidential Dem,Democracy,Presidential Dem,2000,2003,4,1
Leonel Antonio Fernandez Reyna,Dominican Republic,42,42.0,Caribbean,America,Leonel Antonio Fernandez Reyna.Dominican Republic.2004.2008.Presidential Dem,Democracy,Presidential Dem,2004,2008,5,0
Mari Bim Amude Alkatiri,East Timor,860,860.0,South-Eastern Asia,Asia,Mari Bim Amude Alkatiri.East Timor.2002.2005.Mixed Dem,Democracy,Mixed Dem,2002,2005,4,1
Jose Ramos-Horta,East Timor,860,860.0,South-Eastern Asia,Asia,Jose Ramos-Horta.East Timor.2006.2006.Mixed Dem,Democracy,Mixed Dem,2006,2006,1,1
Kay Rala Xanana Gusmao,East Timor,860,860.0,South-Eastern Asia,Asia,Kay Rala Xanana Gusmao.East Timor.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2008,2,0
Jose Velasco Ibarra,Ecuador,130,130.0,South America,America,Jose Velasco Ibarra.Ecuador.1946.1946.Presidential Dem,Democracy,Presidential Dem,1946,1946,1,1
military,Ecuador,130,130.0,South America,America,military.Ecuador.1947.1947.Military Dict,Non-democracy,Military Dict,1947,1947,1,1
Galo Plaza Lasso,Ecuador,130,130.0,South America,America,Galo Plaza Lasso.Ecuador.1948.1951.Presidential Dem,Democracy,Presidential Dem,1948,1951,4,1
Jose Velasco Ibarra,Ecuador,130,130.0,South America,America,Jose Velasco Ibarra.Ecuador.1952.1955.Presidential Dem,Democracy,Presidential Dem,1952,1955,4,1
Camilo Ponce Enriquez,Ecuador,130,130.0,South America,America,Camilo Ponce Enriquez.Ecuador.1956.1959.Presidential Dem,Democracy,Presidential Dem,1956,1959,4,1
Jose Velasco Ibarra,Ecuador,130,130.0,South America,America,Jose Velasco Ibarra.Ecuador.1960.1960.Presidential Dem,Democracy,Presidential Dem,1960,1960,1,1
Carlos Arosemena Monroy,Ecuador,130,130.0,South America,America,Carlos Arosemena Monroy.Ecuador.1961.1962.Presidential Dem,Democracy,Presidential Dem,1961,1962,2,1
Ramon Castro Jijon,Ecuador,130,130.0,South America,America,Ramon Castro Jijon.Ecuador.1963.1965.Military Dict,Non-democracy,Military Dict,1963,1965,3,1
Otto Arosemena Gomez,Ecuador,130,130.0,South America,America,Otto Arosemena Gomez.Ecuador.1966.1967.Civilian Dict,Non-democracy,Civilian Dict,1966,1967,2,1
Jose Velasco Ibarra,Ecuador,130,130.0,South America,America,Jose Velasco Ibarra.Ecuador.1968.1971.Civilian Dict,Non-democracy,Civilian Dict,1968,1971,4,1
Guillermo Rodriguez Lara,Ecuador,130,130.0,South America,America,Guillermo Rodriguez Lara.Ecuador.1972.1975.Military Dict,Non-democracy,Military Dict,1972,1975,4,1
Alfredo Poveda Burbano,Ecuador,130,130.0,South America,America,Alfredo Poveda Burbano.Ecuador.1976.1978.Military Dict,Non-democracy,Military Dict,1976,1978,3,1
Jaime Roldos Aguillera,Ecuador,130,130.0,South America,America,Jaime Roldos Aguillera.Ecuador.1979.1980.Presidential Dem,Democracy,Presidential Dem,1979,1980,2,0
Osvaldo Hurtado Larrea,Ecuador,130,130.0,South America,America,Osvaldo Hurtado Larrea.Ecuador.1981.1983.Presidential Dem,Democracy,Presidential Dem,1981,1983,3,1
Leon Febres Cordero,Ecuador,130,130.0,South America,America,Leon Febres Cordero.Ecuador.1984.1987.Presidential Dem,Democracy,Presidential Dem,1984,1987,4,1
Rodrigo Borja Cevallos,Ecuador,130,130.0,South America,America,Rodrigo Borja Cevallos.Ecuador.1988.1991.Presidential Dem,Democracy,Presidential Dem,1988,1991,4,1
Sixto Duran Ballen,Ecuador,130,130.0,South America,America,Sixto Duran Ballen.Ecuador.1992.1995.Presidential Dem,Democracy,Presidential Dem,1992,1995,4,1
Abdala Bucaram Ortiz,Ecuador,130,130.0,South America,America,Abdala Bucaram Ortiz.Ecuador.1996.1996.Presidential Dem,Democracy,Presidential Dem,1996,1996,1,1
Fabian Alarcon,Ecuador,130,130.0,South America,America,Fabian Alarcon.Ecuador.1997.1997.Presidential Dem,Democracy,Presidential Dem,1997,1997,1,1
Jamil Mahuad,Ecuador,130,130.0,South America,America,Jamil Mahuad.Ecuador.1998.1999.Presidential Dem,Democracy,Presidential Dem,1998,1999,2,1
Gustavo Noboa Bejarano,Ecuador,130,130.0,South America,America,Gustavo Noboa Bejarano.Ecuador.2000.2001.Civilian Dict,Non-democracy,Civilian Dict,2000,2001,2,1
Gustavo Noboa Bejarano,Ecuador,130,130.0,South America,America,Gustavo Noboa Bejarano.Ecuador.2002.2002.Presidential Dem,Democracy,Presidential Dem,2002,2002,1,1
Lucio Gutierrez,Ecuador,130,130.0,South America,America,Lucio Gutierrez.Ecuador.2003.2004.Presidential Dem,Democracy,Presidential Dem,2003,2004,2,1
Alfredo Palacio,Ecuador,130,130.0,South America,America,Alfredo Palacio.Ecuador.2005.2006.Presidential Dem,Democracy,Presidential Dem,2005,2006,2,1
Rafael Correa,Ecuador,130,130.0,South America,America,Rafael Correa.Ecuador.2007.2008.Presidential Dem,Democracy,Presidential Dem,2007,2008,2,0
Faruq I,Egypt,651,651.0,Northern Africa,Africa,Faruq I.Egypt.1946.1951.Monarchy,Non-democracy,Monarchy,1946,1951,6,1
Mohammed Naguib,Egypt,651,651.0,Northern Africa,Africa,Mohammed Naguib.Egypt.1952.1953.Military Dict,Non-democracy,Military Dict,1952,1953,2,1
Gamal Nasser,Egypt,651,651.0,Northern Africa,Africa,Gamal Nasser.Egypt.1954.1969.Military Dict,Non-democracy,Military Dict,1954,1969,16,0
Anwar el-Sadat,Egypt,651,651.0,Northern Africa,Africa,Anwar el-Sadat.Egypt.1970.1980.Military Dict,Non-democracy,Military Dict,1970,1980,11,0
Hosni Mubarak,Egypt,651,651.0,Northern Africa,Africa,Hosni Mubarak.Egypt.1981.2008.Military Dict,Non-democracy,Military Dict,1981,2008,28,0
Salvador Castaneda Castro,El Salvador,92,92.0,Central America,America,Salvador Castaneda Castro.El Salvador.1946.1947.Military Dict,Non-democracy,Military Dict,1946,1947,2,1
Manuel Cordoba,El Salvador,92,92.0,Central America,America,Manuel Cordoba.El Salvador.1948.1948.Military Dict,Non-democracy,Military Dict,1948,1948,1,1
Oscar Bolanos,El Salvador,92,92.0,Central America,America,Oscar Bolanos.El Salvador.1949.1949.Military Dict,Non-democracy,Military Dict,1949,1949,1,1
